City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tatarsk,55.219,75.9828,46.2,74,100,13.38,RU,1665435412
aspindza,41.5739,43.2483,51.8,90,83,0.18,GE,1665435413
dehui,44.5333,125.7,33.89,70,0,7.05,CN,1665435414
marienburg,54.0359,19.0266,54.88,49,100,16.42,PL,1665435415
souillac,-20.5167,57.5167,71.98,78,40,6.91,MU,1665435416
lagos,6.5833,3.75,79.12,90,76,2.53,NG,1665435265
khirkiya,22.1674,76.8605,74.21,91,100,6.29,IN,1665435417
muros,42.7762,-9.0603,62.17,95,98,6.04,ES,1665435267
warrington,53.3925,-2.5802,51.28,83,40,6.91,GB,1665435420
talnakh,69.4865,88.3972,36.21,99,100,6.8,RU,1665435275
abaza,52.655,90.0928,40.73,93,100,4.85,RU,1665435421
te anau,-45.4167,167.7167,50.23,82,84,3.31,NZ,1665435423
port hardy,50.6996,-127.4199,57.38,62,40,19.57,CA,1665435424
katsuura,35.1333,140.3,70.65,66,95,25.79,JP,1665435424
ilulissat,69.2167,-51.1,26.46,92,100,6.64,GL,1665435426
muncie,40.1934,-85.3864,74.86,36,1,5.99,US,1665435427
preobrazheniye,42.9019,133.9064,47.07,86,29,12.03,RU,1665435428
kotelnich,58.3089,48.348,40.21,87,33,2.73,RU,1665435429
bijapur,16.8333,75.7,75.52,81,100,5.5,IN,1665435429
schlitz,50.6742,9.561,58.24,89,98,3.94,DE,1665435430
sobolevo,54.4299,31.8996,39.94,87,0,4.18,RU,1665435296
half moon bay,37.4636,-122.4286,84.88,75,75,8.05,US,1665435431
mangai,-4.05,19.5333,71.73,87,47,0.74,CD,1665435433
puerto ayacucho,5.6639,-67.6236,85.73,72,91,2.1,VE,1665435413
topolobampo,25.6,-109.05,92.14,40,0,16.06,MX,1665435434
itaituba,-4.2761,-55.9836,78.96,89,100,0,BR,1665435435
birao,10.2849,22.7882,72.3,84,22,4.16,CF,1665435436
gamba,-2.65,10,76.57,88,89,4.92,GA,1665435437
san cristobal,7.7669,-72.225,80.78,59,100,5.86,VE,1665435263
pevek,69.7008,170.3133,25.45,82,100,26.22,RU,1665435443
sao joao da barra,-21.6403,-41.0511,80.69,84,9,7.4,BR,1665434854
el alto,-4.2714,-81.2147,69.46,73,31,18.07,PE,1665435445
bengkulu,-3.8004,102.2655,76.28,85,100,3.42,ID,1665435446
gonen,40.1049,27.654,60.37,87,63,7.67,TR,1665435303
mogwase,-25.185,27.2665,76.91,22,23,10.49,ZA,1665435449
rivers,50.0308,-100.2403,72.55,28,25,15.21,CA,1665435449
marfino,55.7028,37.3822,44.94,83,0,4.47,RU,1665435450
okakarara,-20.5833,17.4333,69.82,14,4,6.69,NA,1665435450
jardim,-21.4803,-56.1381,74.59,72,97,3.27,BR,1665435451
iqaluit,63.7506,-68.5145,28.13,80,75,13.8,CA,1665435286
los llanos de aridane,28.6585,-17.9182,67.75,84,20,8.05,ES,1665435452
yeroham,30.9872,34.9314,66.15,69,0,7.99,IL,1665435223
nouadhibou,20.931,-17.0347,73.38,78,16,12.66,MR,1665435455
coahuayana,18.7333,-103.6833,92.62,49,73,5.44,MX,1665435456
canico,32.6333,-16.85,74.01,84,75,9.22,PT,1665435456
myaundzha,63.0494,147.1858,1.15,98,86,1.45,RU,1665435457
alanya,36.5438,31.9998,73.08,50,0,4.61,TR,1665435402
narsaq,60.9167,-46.05,34.75,99,100,5.99,GL,1665435460
mount isa,-20.7333,139.5,55.17,58,2,0,AU,1665434889
bathsheba,13.2167,-59.5167,86.61,74,40,18.41,BB,1665435302
puerto madero,14.7208,-92.4215,75.63,91,100,3.56,MX,1665435258
asfi,32.2994,-9.2372,67.68,84,100,6.29,MA,1665435465
jalu,29.0331,21.5482,72.64,41,0,6.53,LY,1665435465
saint-pierre,-21.3393,55.4781,71.28,73,100,3.44,RE,1665435283
udachnyy,66.4167,112.4,21.9,95,94,7.49,RU,1665435467
ketchikan,55.3422,-131.6461,53.2,62,30,7.16,US,1665435467
araouane,18.9048,-3.5265,94.8,13,14,4.76,ML,1665435284
qianan,44.9932,124.0581,35.24,55,0,7.05,CN,1665435469
quatre cocos,-20.2078,57.7625,71.71,75,61,11.79,MU,1665435471
chase,50.8165,-119.6857,59.88,36,59,1.7,CA,1665435471
rakai,-0.72,31.4839,63.34,75,36,3.24,UG,1665435472
la sarre,48.8002,-79.1996,44.78,55,50,9.57,CA,1665435473
racine,42.7495,-88.0751,69.3,66,40,5.99,US,1665435474
castellammare del golfo,38.0188,12.8858,70.92,79,4,1.9,IT,1665435474
imeni poliny osipenko,52.4201,136.4853,30.34,79,100,8.88,RU,1665435475
agadez,19.75,10.25,80.87,19,2,8.97,NE,1665435475
sigmaringen,48.0833,9.2167,54.34,89,97,2.44,DE,1665435475
aykhal,66,111.5,17.22,100,90,7.16,RU,1665435475
wagar,16.1525,36.2032,88.77,34,2,7.4,SD,1665435476
valencia,39.3333,-0.8333,61.68,80,100,2.17,ES,1665435376
juneau,58.3019,-134.4197,48.22,82,100,5.37,US,1665435472
watertown,42.3709,-71.1828,64.51,66,80,10,US,1665435492
oktyabrskoye,43.0645,44.7417,57.34,93,86,13.42,RU,1665435507
saskylakh,71.9167,114.0833,9.68,94,45,9.22,RU,1665435251
adrar,20.5022,-10.0711,92.23,20,25,10.6,MR,1665435515
leczna,51.3012,22.8814,46.11,100,0,5.75,PL,1665435245
kavieng,-2.5744,150.7967,81.46,71,11,8.41,PG,1665435539
enniscorthy,52.5008,-6.5578,51.48,79,75,2.98,IE,1665435541
